rank,french,english,type,box,total_reviews,correct,lapses,last_review,next_review,status
1,le/la/les,the,article,1,0,0,0,,,new
2,de,of/from,preposition,1,0,0,0,,,new
3,un/une,a/an,article,1,0,0,0,,,new
4,à,to/at,preposition,1,0,0,0,,,new
5,et,and,connector,1,0,0,0,,,new
6,que,that/which,connector,1,0,0,0,,,new
7,qui,who/which,pronoun,1,0,0,0,,,new
8,ne…pas,not,negation,1,0,0,0,,,new
9,pour,for,preposition,1,0,0,0,,,new
10,dans,in,preposition,1,0,0,0,,,new
11,sur,on,preposition,1,0,0,0,,,new
12,avec,with,preposition,1,0,0,0,,,new
13,mais,but,connector,1,0,0,0,,,new
14,comme,like/as,connector,1,0,0,0,,,new
15,plus,more,adverb,1,0,0,0,,,new
16,très,very,adverb,1,0,0,0,,,new
17,bien,well,adverb,1,0,0,0,,,new
18,aussi,also,adverb,1,0,0,0,,,new
19,tout,all/everything,determiner,1,0,0,0,,,new
20,ce/cette,this/that,determiner,1,0,0,0,,,new
21,on,we/one,pronoun,1,0,0,0,,,new
22,si,if,connector,1,0,0,0,,,new
23,où,where,adverb,1,0,0,0,,,new
24,ou,or,connector,1,0,0,0,,,new
25,quand,when,adverb,1,0,0,0,,,new
